,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,5,-,-,86.42,-,-,780,"2,491.60","2,575.85",845,"21,100.00","78,910",0.40,0.45,"1,64,515",-0.10,0.40,72.29,"25,346","-4,138","12,594",
,-,-,-,-,-,-,780,"2,305.85","2,899.95",780,"21,150.00","2,600",0.40,0.45,"9,750",-0.15,0.40,70.88,"1,110",57,937,
,-,-,-,-,-,-,780,"2,245.05","2,526.50",780,"21,200.00","39,845",0.40,0.45,"63,115",-0.05,0.45,69.47,"3,032",-909,"2,578",
,-,-,-,-,-,-,780,"2,185.65","2,456.50","1,170","21,250.00","17,355",0.40,0.45,"7,150",-0.15,0.40,68.80,539,44,676,
,-,-,-,-,-,-,780,"2,135.20","2,426.65",780,"21,300.00","36,335",0.40,0.45,"25,870",-0.10,0.45,66.66,"6,912",-598,"1,370",
,-,-,-,-,-,-,780,"2,108.65","2,385.80",780,"21,350.00","4,030",0.40,0.45,"6,435",-0.20,0.40,65.96,236,38,401,
,1,-,-,-,-,-,780,"2,037.30","2,287.30",780,"21,400.00","35,165",0.45,0.50,"68,900",-0.15,0.45,64.54,"4,379",-222,"2,579",
,-,-,-,-,-,-,780,"1,987.70","2,285.05",780,"21,450.00","17,160",0.40,0.45,"7,215",-0.25,0.40,63.75,977,-69,363,
,14,-2,5,116.59,"2,119.80",-44.30,130,"2,127.15","2,152.90",65,"21,500.00","2,83,595",0.45,0.50,"4,46,680",-0.20,0.45,61.71,"19,018","-1,194","18,936",
,-,-,-,-,-,-,780,"1,892.95","2,141.70",780,"21,550.00","3,705",0.50,0.60,"11,115",-0.15,0.55,60.89,"1,466",204,557,
,-,-,-,-,-,-,780,"1,857.20","2,120.85",780,"21,600.00","64,415",0.50,0.55,"99,645",-0.20,0.55,59.47,"6,971",773,"4,778",
